date,long_name,player,notes,injury,team
2013-12-09,Canucks,Alexander Edler,placed on IR with lower body injury,torso,VAN
2013-12-27,Canucks,Roberto Luongo,placed on IR with groin injury,ul,VAN
2013-12-29,Canucks,Ryan Stanton,placed on IR with left ankle injury,ll,VAN
2014-01-02,Canucks,Roberto Luongo,activated from IR,activated from IR,VAN
2014-01-07,Canucks,Andrew Alberts,placed on IR with concussion (out for season),head,VAN
2014-01-13,Canucks,Alexander Edler,activated from IR,activated from IR,VAN
2014-01-18,Canucks,Mike Santorelli,placed on IR with arm injury (out for season),ua,VAN
2014-01-18,Canucks,Alexandre Burrows,activated from IR,activated from IR,VAN
2014-01-21,Canucks,Jordan Schroeder,activated from IR,activated from IR,VAN
2014-01-23,Canucks,Ryan Stanton,activated from IR,activated from IR,VAN
2014-01-29,Canucks,Christopher Tanev,placed on IR with fractured thumb,la,VAN
2014-01-30,Canucks,Kevin Bieksa,placed on IR with bruised foot,ll,VAN
2014-02-04,Canucks,Yannick Weber,placed on IR with upper body injury,torso,VAN
2014-02-08,Canucks,Yannick Weber,activated from IR,activated from IR,VAN
2014-02-26,Canucks,Kevin Bieksa,activated from IR,activated from IR,VAN
2014-02-28,Canucks,Christopher Tanev,activated from IR,activated from IR,VAN
2014-03-05,Canucks,Daniel Sedin,placed on IR with strained left hamstring,ul,VAN
2014-03-23,Canucks,Daniel Sedin,activated from IR,activated from IR,VAN
2014-10-06,Canucks,Bo Horvat,placed on IR with upper body injury,torso,VAN
2014-10-06,Canucks,Frank Corrado,placed on IR with upper body injury,torso,VAN
2014-10-09,Canucks,Frank Corrado,activated from IR,activated from IR,VAN
2014-10-17,Canucks,Ryan Stanton,placed on IR with lower body injury,torso,VAN
2014-10-21,Canucks,Bo Horvat,activated from IR,activated from IR,VAN
2014-10-30,Canucks,Ryan Stanton,activated from IR,activated from IR,VAN
2014-11-03,Canucks,Tom Sestito,placed on IR with leg injury,ll,VAN
2014-11-06,Canucks,Zack Kassian,placed on IR with lower body injury (date 11-09 per CBC),torso,VAN
2014-11-19,Canucks,Zack Kassian,activated from IR,activated from IR,VAN
2014-11-21,Canucks,Dan Hamhuis,placed on IR with lower body injury,torso,VAN
2014-11-27,Canucks,Zack Kassian,placed on IR with finger injury,la,VAN
2014-12-06,Canucks,Tom Sestito,activated from IR,activated from IR,VAN
2015-01-01,Canucks,Zack Kassian,activated from IR,activated from IR,VAN
2015-01-15,Canucks,Dan Hamhuis,activated from IR,activated from IR,VAN
2015-01-30,Canucks,Brad Richardson,placed on IR with lower body injury,torso,VAN
2015-01-30,Canucks,Kevin Bieksa,placed on IR with fractured hand,la,VAN
2015-02-11,Canucks,Frank Corrado,placed on IR with upper body injury,torso,VAN
2015-02-16,Canucks,Nick Bonino,placed on IR with foot injury,ll,VAN
2015-02-19,Canucks,Alexander Edler,placed on IR with lower body injury,torso,VAN
2015-02-21,Canucks,Christopher Tanev,placed on IR with upper body injury,torso,VAN
2015-02-22,Canucks,Nick Bonino,placed on IR with foot injury (SN),ll,VAN
2015-02-23,Canucks,Ryan Miller,placed on IR with sprained knee,ul,VAN
2015-02-24,Canucks,Nick Bonino,activated from IR,activated from IR,VAN
2015-03-01,Canucks,Frank Corrado,activated from IR,activated from IR,VAN
2015-03-05,Canucks,Alexander Edler,activated from IR,activated from IR,VAN
2015-03-09,Canucks,Christopher Tanev,activated from IR,activated from IR,VAN
2015-03-13,Canucks,Brad Richardson,activated from IR,activated from IR,VAN
2015-03-13,Canucks,Kevin Bieksa,activated from IR,activated from IR,VAN
2015-04-09,Canucks,Ryan Miller,activated from IR,activated from IR,VAN
2015-10-06,Canucks,Chris Higgins,placed on IR with foot injury,ll,VAN
2015-10-07,Canucks,Jacob Markstrom,placed on IR with lower body injury (Y),torso,VAN
2015-10-10,Canucks,Jacob Markstrom,placed on IR with hamstring injury,ul,VAN
2015-10-27,Canucks,Dan Hamhuis,placed on IR with lower body injury,torso,VAN
2015-10-28,Canucks,Brandon Prust,placed on IR with ankle injury,ll,VAN
2015-10-29,Canucks,Dan Hamhuis,placed on IR with lower body injury (CBC),torso,VAN
2015-11-01,Canucks,Luca Sbisa,placed on IR with foot injury,ll,VAN
2015-11-02,Canucks,Dan Hamhuis,activated from IR,activated from IR,VAN
2015-11-04,Canucks,Chris Higgins,activated from IR,activated from IR,VAN
2015-11-09,Canucks,Jacob Markstrom,activated from IR,activated from IR,VAN
2015-11-18,Canucks,Luca Sbisa,activated from IR,activated from IR,VAN
2015-11-19,Canucks,Ben Hutton,placed on IR with lower body injury,torso,VAN
2015-11-21,Canucks,Brandon Sutter,placed on IR with hernia,torso,VAN
2015-11-21,Canucks,Brandon Prust,activated from IR,activated from IR,VAN
2015-11-25,Canucks,Ben Hutton,placed on IR with lower body injury,torso,VAN
2015-12-01,Canucks,Jake Virtanen,placed on IR with upper body injury,torso,VAN
2015-12-09,Canucks,Luca Sbisa,placed on IR with hand injury,la,VAN
2015-12-09,Canucks,Jake Virtanen,activated from IR,activated from IR,VAN
2015-12-10,Canucks,Dan Hamhuis,placed on IR with facial fractures,torso,VAN
2015-12-15,Canucks,Dan Hamhuis,placed on IR with facial fractures (CBC),torso,VAN
2015-12-28,Canucks,Christopher Tanev,placed on IR with lower body injury,torso,VAN
2015-12-28,Canucks,Ryan Miller,placed on IR with lower body injury,torso,VAN
2015-12-28,Canucks,Chris Higgins,activated from IR,activated from IR,VAN
2015-12-29,Canucks,Sven Baertschi,placed on IR with sore neck,head,VAN
2016-01-01,Canucks,Christopher Tanev,activated from IR,activated from IR,VAN
2016-01-04,Canucks,Sven Baertschi,placed on IR with neck injury (CBC),head,VAN
2016-01-06,Canucks,Sven Baertschi,activated from IR,activated from IR,VAN
2016-01-07,Canucks,Ryan Miller,activated from IR,activated from IR,VAN
2016-01-08,Canucks,Jannik Hansen,placed on IR with upper body injury,torso,VAN
2016-01-16,Canucks,Luca Sbisa,activated from IR,activated from IR,VAN
2016-01-17,Canucks,Jannik Hansen,activated from IR,activated from IR,VAN
2016-01-26,Canucks,Brandon Sutter,activated from IR,activated from IR,VAN
2016-02-04,Canucks,Henrik Sedin,activated from IR,activated from IR,VAN
2016-02-06,Canucks,Dan Hamhuis,activated from IR,activated from IR,VAN
2016-02-10,Canucks,Alexander Edler,placed on IR with fractured fibula (out for season),ll,VAN
2016-02-10,Canucks,Brandon Sutter,placed on IR with fractured jaw (out for season),head,VAN
2016-10-23,Canucks,Alexandre Burrows,placed on IR with neck injury,head,VAN
2016-10-23,Canucks,Derek Dorsett,placed on IR with shoulder injury,torso,VAN
2016-10-28,Canucks,Christopher Tanev,placed on IR with lower body injury,torso,VAN
2016-10-29,Canucks,Jayson Megna,placed on IR with shoulder injury,torso,VAN
2016-11-02,Canucks,Alexandre Burrows,activated from IR,activated from IR,VAN
2016-11-02,Canucks,Christopher Tanev,activated from IR,activated from IR,VAN
2016-11-02,Canucks,Derek Dorsett,activated from IR,activated from IR,VAN
2016-11-03,Canucks,Christopher Tanev,placed on IR with lower body injury,torso,VAN
2016-11-07,Canucks,Jannik Hansen,placed on IR with shoulder injury / fractured ribs,torso,VAN
2016-11-18,Canucks,Derek Dorsett,placed on IR with shoulder injury,torso,VAN
2016-11-19,Canucks,Jayson Megna,activated from IR,activated from IR,VAN
2016-11-27,Canucks,Alexander Edler,placed on IR with fractured finger,la,VAN
2016-11-29,Canucks,Philip Larsen,activated from IR,activated from IR,VAN
2016-12-05,Canucks,Derek Dorsett,placed on IL with surgery on neck,head,VAN
2016-12-07,Canucks,Philip Larsen,placed on IR with upper body injury,torso,VAN
2016-12-11,Canucks,Jannik Hansen,activated from IR,activated from IR,VAN
2016-12-13,Canucks,Anton Rodin,activated from IR,activated from IR,VAN
2016-12-16,Canucks,Erik Gudbranson,placed on IR with wrist injury,la,VAN
2016-12-16,Canucks,Christopher Tanev,activated from IR,activated from IR,VAN
2016-12-23,Canucks,Jannik Hansen,placed on IR with knee injury,ul,VAN
2016-12-28,Canucks,Jannik Hansen,placed on IR with knee injury,ul,VAN
2016-12-28,Canucks,Alexander Edler,activated from IR,activated from IR,VAN
2017-01-07,Canucks,Ben Hutton,placed on IR with upper body injury,torso,VAN
2017-01-10,Canucks,Ben Hutton,placed on IR with upper body injury,torso,VAN
2017-01-17,Canucks,Anton Rodin,placed on IR with knee injury,ul,VAN
2017-01-25,Canucks,Philip Larsen,activated from IR,activated from IR,VAN
2017-02-04,Canucks,Jannik Hansen,activated from IR,activated from IR,VAN
2017-02-07,Canucks,Ben Hutton,activated from IR,activated from IR,VAN
2017-02-11,Canucks,Sven Baertschi,placed on IR with concussion,head,VAN
2017-02-27,Canucks,Jacob Markstrom,placed on IR with lower body injury,torso,VAN
2017-02-28,Canucks,Troy Stecher,activated from IR,activated from IR,VAN
2017-03-01,Canucks,Jacob Markstrom,placed on IR with lower body injury,torso,VAN
2017-03-02,Canucks,Christopher Tanev,activated from IR,activated from IR,VAN
2017-03-02,Canucks,Michael Chaput,activated from IR,activated from IR,VAN
2017-03-02,Canucks,Sven Baertschi,activated from IR,activated from IR,VAN
2007-03-02,Canucks,Josh Green,sprained right knee (out 3-5 weeks),ul,VAN
2007-03-13,Canucks,Tommi Santala,shoulder injury (DTD),torso,VAN
2007-03-13,Canucks,Willie Mitchell,groin injury (DTD),ul,VAN
2007-03-19,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2007-03-25,Canucks,Mattias Ohlund,elbow injury (DTD),ua,VAN
2007-03-29,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2007-04-11,Canucks,Brent Sopel,back spasms (DTD),torso,VAN
2007-04-13,Canucks,Alexandre Burrows,head injury (DTD),head,VAN
2007-04-13,Canucks,Matt Cooke,groin injury (DTD),ul,VAN
2007-04-13,Canucks,Ryan Kesler,broken finger (out indefinitely),la,VAN
2007-09-17,Canucks,Sami Salo,left wrist injury (out indefinitely),la,VAN
2007-09-21,Canucks,Jannik Hansen,broken thumb (out indefinitely),la,VAN
2007-10-04,Canucks,Alexander Edler,hip injury (DTD),ul,VAN
2007-10-15,Canucks,Lukas Krajicek,foot injury (DTD),ll,VAN
2007-10-15,Canucks,Jeff Cowan,hip flexor (DTD),ul,VAN
2007-10-26,Canucks,Lukas Krajicek,ankle injury (DTD),ll,VAN
2007-11-03,Canucks,Kevin Bieksa,lacerated calf (out indefinitely),ll,VAN
2007-11-03,Canucks,Sami Salo,broken nose (out indefinitely),head,VAN
2007-11-23,Canucks,Lukas Krajicek,foot injury (DTD),ll,VAN
2007-12-11,Canucks,Jeff Cowan,shoulder injury (DTD),torso,VAN
2007-12-12,Canucks,Brad Isbister,hamstring injury (out indefinitely),ul,VAN
2007-12-12,Canucks,Brendan Morrison,wrist injury (out indefinitely),la,VAN
2007-12-12,Canucks,Roberto Luongo,rib injury (DTD),torso,VAN
2007-12-18,Canucks,Brendan Morrison,wrist injury (out 8-10 weeks),la,VAN
2007-12-23,Canucks,Mattias Ohlund,back spasms (DTD),torso,VAN
2008-01-19,Canucks,Willie Mitchell,sore back (DTD),torso,VAN
2008-01-31,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2008-02-05,Canucks,Aaron Miller,hairline fracture in leg (DTD),ll,VAN
2008-02-18,Canucks,Taylor Pyatt,shoulder injury (DTD),torso,VAN
2008-02-27,Canucks,Byron Ritchie,back injury (DTD),torso,VAN
2008-03-05,Canucks,Mattias Ohlund,knee injury (DTD),ul,VAN
2008-03-08,Canucks,Aaron Miller,shoulder injury (DTD),torso,VAN
2008-03-13,Canucks,Mattias Ohlund,surgery on left knee (DTD),ul,VAN
2008-03-15,Canucks,Byron Ritchie,shoulder injury (DTD),torso,VAN
2008-03-28,Canucks,Brendan Morrison,torn ACL in right knee (out indefinitely),ul,VAN
2008-04-02,Canucks,Taylor Pyatt,concussion (DTD),head,VAN
2008-10-13,Canucks,Kevin Bieksa,left knee injury (DTD),ul,VAN
2008-10-20,Canucks,Darcy Hordichuk,sprained knee (DTD),ul,VAN
2008-10-21,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2008-11-02,Canucks,Jannik Hansen,groin injury (DTD),ul,VAN
2008-11-27,Canucks,Steve Bernier,shoulder injury (DTD),torso,VAN
2008-12-01,Canucks,Curtis Sanford,back spasms (DTD),torso,VAN
2008-12-02,Canucks,Darcy Hordichuk,broken foot (out indefinitely),ll,VAN
2008-12-09,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2008-12-18,Canucks,Sami Salo,broken rib (DTD),torso,VAN
2008-12-20,Canucks,Sami Salo,broken rib (DTD),torso,VAN
2008-12-26,Canucks,Taylor Pyatt,broken right foot (DTD),ll,VAN
2008-12-31,Canucks,Curtis Sanford,groin injury (out indefinitely),ul,VAN
2009-02-20,Canucks,Jannik Hansen,broken pinky finger (DTD),la,VAN
2009-02-25,Canucks,Pavol Demitra,finger injury (DTD),la,VAN
2009-04-19,Canucks,Mats Sundin,sore groin (DTD),ul,VAN
2009-04-21,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2009-05-02,Canucks,Sami Salo,lower body injury (DTD),torso,VAN
2009-05-05,Canucks,Pavol Demitra,shoulder injury (out for season),torso,VAN
2009-09-29,Canucks,Jannik Hansen,right hand injury (out indefinitely),la,VAN
2009-10-24,Canucks,Rick Rypien,groin injury (DTD),ul,VAN
2009-10-25,Canucks,Kyle Wellwood,broken right big toe (DTD),ll,VAN
2009-11-26,Canucks,Rick Rypien,lower (Y) / upper (CBC) body injury (DTD),torso,VAN
2009-12-09,Canucks,Alexander Edler,left arm body injury (DTD),torso,VAN
2009-12-26,Canucks,Ryan Johnson,sore foot (DTD),ll,VAN
2009-12-30,Canucks,Kevin Bieksa,lacerated leg (out indefinitely),ll,VAN
2010-01-09,Canucks,Aaron Rome,head/facial injury (DTD),head,VAN
2010-01-09,Canucks,Sami Salo,eye injury (DTD),head,VAN
2010-01-11,Canucks,Steve Bernier,groin injury (DTD),ul,VAN
2010-01-19,Canucks,Willie Mitchell,back injury (DTD),torso,VAN
2010-01-23,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2010-03-03,Canucks,Steve Bernier,groin injury (DTD),ul,VAN
2010-03-17,Canucks,Mikael Samuelsson,upper body injury (DTD),torso,VAN
2010-04-01,Canucks,Daniel Sedin,back injury (DTD),torso,VAN
2010-04-06,Canucks,Christian Ehrhoff,sprained left knee (out indefinitely),ul,VAN
2010-04-06,Canucks,Ryan Johnson,broken foot (DTD),ll,VAN
2010-04-08,Canucks,Shane O'Brien,shoulder injury (DTD),torso,VAN
2010-04-10,Canucks,Sami Salo,leg injury (DTD),ll,VAN
2010-04-23,Canucks,Nolan Baumgartner,right knee injury (DTD),ul,VAN
2010-09-17,Canucks,Alexandre Burrows,surgery on shoulder to repair torn labrum (out indefinitely),torso,VAN
2010-09-17,Canucks,Sami Salo,torn Achilles tendon (out indefinitely),ll,VAN
2010-09-24,Canucks,Yann Sauve,concussion (out indefinitely),head,VAN
2010-10-04,Canucks,Rick Rypien,upper body injury (our indefinitely),torso,VAN
2010-10-17,Canucks,Keith Ballard,concussion (DTD),head,VAN
2010-10-18,Canucks,Dan Hamhuis,foot injury (DTD),ll,VAN
2010-10-27,Canucks,Andrew Alberts,knee injury (DTD),ul,VAN
2010-11-01,Canucks,Ryan Parent,pulled groin (DTD),ul,VAN
2010-12-06,Canucks,Mikael Samuelsson,concussion (DTD),head,VAN
2010-12-09,Canucks,Christian Ehrhoff,concussion (DTD),head,VAN
2010-12-10,Canucks,Mason Raymond,broken left thumb (DTD),la,VAN
2011-01-14,Canucks,Aaron Rome,sprained MCL in knee (out indefinitely),ul,VAN
2011-01-17,Canucks,Andrew Alberts,right shoulder injury (DTD),torso,VAN
2011-02-02,Canucks,Aaron Volpatti,rib injury (DTD),torso,VAN
2011-02-10,Canucks,Dan Hamhuis,concussion (DTD),head,VAN
2011-02-17,Canucks,Kevin Bieksa,fractured left foot (DTD),ll,VAN
2011-03-07,Canucks,Mason Raymond,shoulder injury (DTD),torso,VAN
2011-03-12,Canucks,Tanner Glass,upper body injury (DTD),torso,VAN
2011-03-22,Canucks,Mikael Samuelsson,lower body injury (DTD),torso,VAN
2011-03-28,Canucks,Dan Hamhuis,concussion (DTD),head,VAN
2011-04-02,Canucks,Christopher Tanev,upper body injury (DTD),torso,VAN
2011-04-19,Canucks,Andrew Alberts,broken wrist (out for season) (CBC),la,VAN
2011-04-24,Canucks,Cory Schneider,lower body injury (left game),torso,VAN
2011-05-08,Canucks,Mikael Samuelsson,left leg injury (out for season),ll,VAN
2011-05-22,Canucks,Aaron Rome,head injury (DTD),head,VAN
2011-05-22,Canucks,Christian Ehrhoff,shoulder injury (DTD),torso,VAN
2011-06-02,Canucks,Dan Hamhuis,lower body injury (out for season),torso,VAN
2011-10-20,Canucks,Mikael Samuelsson,groin injury (DTD),ul,VAN
2011-11-03,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2011-11-06,Canucks,Alexandre Burrows,back spasms (DTD),torso,VAN
2011-11-11,Canucks,Andrew Ebbett,fractured foot (DTD),ll,VAN
2011-11-15,Canucks,Roberto Luongo,upper body injury (DTD),torso,VAN
2011-11-17,Canucks,Keith Ballard,back injury (out indefinitely),torso,VAN
2011-12-01,Canucks,Sami Salo,groin injury (DTD),ul,VAN
2011-12-03,Canucks,Aaron Volpatti,torn labrum in shoulder (out for season),torso,VAN
2011-12-06,Canucks,Chris Higgins,foot injury (DTD) (CBC),ll,VAN
2011-12-07,Canucks,David Booth,sprained MCL in right knee (DTD),ul,VAN
2011-12-11,Canucks,Cody Hodgson,head injury (DTD),head,VAN
2011-12-15,Canucks,Daniel Sedin,back injury (DTD),torso,VAN
2011-12-19,Canucks,Aaron Rome,broken thumb (DTD),la,VAN
2011-12-19,Canucks,Keith Ballard,back spasms (DTD),torso,VAN
2011-12-27,Canucks,Chris Higgins,hand injury (DTD),la,VAN
2012-01-07,Canucks,Andrew Ebbett,broken collarbone (out indefinitely),torso,VAN
2012-01-08,Canucks,Sami Salo,concussion (out indefinitely),head,VAN
2012-02-09,Canucks,Dale Weise,foot injury (DTD),ll,VAN
2012-02-13,Canucks,Keith Ballard,headaches (DTD),head,VAN
2012-02-19,Canucks,Byron Bitz,hip flexor injury (DTD),ul,VAN
2012-03-22,Canucks,Daniel Sedin,head injury (DTD),head,VAN
2012-03-26,Canucks,Aaron Rome,sprained knee (out indefinitely),ul,VAN
2012-04-04,Canucks,Zack Kassian,upper body injury (out for season),torso,VAN
2013-02-22,Canucks,Kevin Bieksa,groin injury (DTD),ul,VAN
2013-03-03,Canucks,Kevin Bieksa,groin injury (DTD),ul,VAN
2013-03-06,Canucks,Keith Ballard,lower body injury (DTD),torso,VAN
2013-03-16,Canucks,Zack Kassian,sore back (DTD),torso,VAN
2013-03-21,Canucks,Chris Higgins,back injury (DTD),torso,VAN
2013-03-26,Canucks,Dale Weise,shoulder injury (out indefinitely),torso,VAN
2013-03-28,Canucks,Keith Ballard,fractured foot (DTD),ll,VAN
2013-04-01,Canucks,Mason Raymond,shoulder injury (DTD),torso,VAN
2013-04-08,Canucks,Christopher Tanev,leg injury (out for season),ll,VAN
2013-04-09,Canucks,Chris Higgins,lower body injury (DTD),torso,VAN
2013-04-16,Canucks,Kevin Bieksa,lower body injury (DTD),torso,VAN
2013-04-21,Canucks,Keith Ballard,strained back (DTD),torso,VAN
2013-04-24,Canucks,Cory Schneider,lower body injury (DTD),torso,VAN
2013-10-04,Canucks,Alexandre Burrows,bruised foot (DTD),ll,VAN
2013-10-25,Canucks,David Booth,lower body injury (DTD),torso,VAN
2013-12-02,Canucks,Alexandre Burrows,fractured jaw (DTD),head,VAN
2013-12-04,Canucks,Alexander Edler,lower body injury (DTD),torso,VAN
2013-12-18,Canucks,Ryan Stanton,left ankle injury (DTD),ll,VAN
2013-12-23,Canucks,Roberto Luongo,lower body injury (DTD),torso,VAN
2013-12-30,Canucks,Andrew Alberts,concussion (out for season),head,VAN
2014-01-05,Canucks,Roberto Luongo,lower body injury (DTD),torso,VAN
2014-01-19,Canucks,Henrik Sedin,bruised ribs (DTD),torso,VAN
2014-02-01,Canucks,Yannick Weber,upper body injury (DTD),torso,VAN
2014-02-06,Canucks,Henrik Sedin,bruised ribs & finger injury (DTD),la,VAN
2014-02-26,Canucks,Ryan Kesler,right hand injury (DTD),la,VAN
2014-02-26,Canucks,Yannick Weber,upper body injury (DTD),torso,VAN
2014-03-04,Canucks,Daniel Sedin,strained left hamstring (out indefinitely),ul,VAN
2014-03-13,Canucks,Ryan Kesler,sprained knee (DTD),ul,VAN
2014-03-18,Canucks,Christopher Tanev,hand injury / fractured finger (out for season),la,VAN
2014-03-21,Canucks,Alexandre Burrows,hand injury (DTD),la,VAN
2014-03-24,Canucks,Henrik Sedin,leg injury (DTD),ll,VAN
2014-04-10,Canucks,Jason Garrison,lower body injury (DTD),torso,VAN
2014-10-21,Canucks,Frank Corrado,upper body injury (DTD),torso,VAN
2014-11-02,Canucks,Ryan Stanton,lower body injury (DTD),torso,VAN
2014-11-09,Canucks,Luca Sbisa,lower body injury (DTD),torso,VAN
2014-11-09,Canucks,Radim Vrbata,lower body injury (DTD),torso,VAN
2014-11-20,Canucks,Alexandre Burrows,upper body injury (DTD),torso,VAN
2014-12-06,Canucks,Shawn Matthias,head injury (DTD),head,VAN
2014-12-22,Canucks,Jannik Hansen,upper body injury (DTD),torso,VAN
2015-01-19,Canucks,Brad Richardson,lower body injury (DTD),torso,VAN
2015-01-21,Canucks,Kevin Bieksa,fractured hand (DTD),la,VAN
2015-01-30,Canucks,Derek Dorsett,lower body injury (DTD),torso,VAN
2015-02-05,Canucks,Christopher Tanev,concussion-like symptoms (DTD),head,VAN
2015-02-10,Canucks,Nick Bonino,lower body injury (DTD),torso,VAN
2015-02-15,Canucks,Alexander Edler,upper body injury / lower body injury (CBC) (DTD),torso,VAN
2015-02-20,Canucks,Alexandre Burrows,lower body injury (DTD),torso,VAN
2015-03-07,Canucks,Chris Higgins,lower (Y) / upper (CBC) body injury (DTD),torso,VAN
